1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,
0.999999,0.00104499,0.000304549,-4.81317e-06,0.00025893,-0.000163586,0.000221493,-0.000156248,-0.000304705,-5.45401e-06,0.999999,0.0010581,0.000325462,-0.000135263,0.000143953,-0.000182962,-0.000258533,-0.000164122,-0.000325291,-0.000136057,0.999999,0.00117073,0.000204198,-0.000118888,-0.000221083,-0.000156599,-0.000143578,-0.000183251,-0.000204084,-0.000119393,0.999999,0.00108456,
0.999997,0.00208998,0.000608919,-9.37838e-06,0.000510105,-0.000329875,0.000440942,-0.000313017,-0.000609534,-1.19425e-05,0.999997,0.00211619,0.000645053,-0.000273372,0.000286359,-0.000366017,-0.000508504,-0.000331983,-0.000644346,-0.000276525,0.999997,0.00234146,0.000412574,-0.000235526,-0.000439304,-0.000314409,-0.000284859,-0.000367161,-0.00041212,-0.000237558,0.999997,0.00216912,
0.999994,0.00313497,0.000913114,-1.3693e-05,0.000753371,-0.000498791,0.000658334,-0.000470304,-0.000914478,-1.94638e-05,0.999994,0.00317429,0.000958624,-0.000414279,0.000427216,-0.000549164,-0.000749748,-0.000503453,-0.000956985,-0.000421323,0.999993,0.00351217,0.000625065,-0.000349872,-0.000654646,-0.000473411,-0.000423835,-0.000551721,-0.00062405,-0.000354473,0.999994,0.00325367,
0.999989,0.00417996,0.00121714,-1.77545e-05,0.000988581,-0.000670259,0.000873652,-0.000628107,-0.00121953,-2.80166e-05,0.999989,0.00423238,0.00126603,-0.000557933,0.000566518,-0.000732404,-0.000982103,-0.0006784,-0.00126303,-0.000570361,0.999987,0.00468286,0.000841609,-0.000461885,-0.000867094,-0.000633587,-0.000560496,-0.000736918,-0.000839815,-0.000470115,0.999989,0.00433821,
0.999983,0.00522496,0.001521,-2.15601e-05,0.00121559,-0.0008442,0.00108688,-0.000786421,-0.00152467,-3.7599e-05,0.999983,0.00529048,0.00156713,-0.000704285,0.000704261,-0.000915736,-0.00120541,-0.000856691,-0.00156231,-0.000723552,0.99998,0.00585351,0.00106214,-0.000571524,-0.00107663,-0.000794917,-0.000694836,-0.000922741,-0.00105936,-0.000584462,0.999983,0.00542275,
0.999976,0.00626996,0.0018247,-2.51073e-05,0.00143427,-0.00102054,0.00129801,-0.000945245,-0.0018299,-4.82094e-05,0.999975,0.00634858,0.00186178,-0.00085328,0.000840439,-0.00109916,-0.00141953,-0.00103819,-0.00185466,-0.000880804,0.999971,0.00702414,0.00128659,-0.000678751,-0.00128325,-0.000957383,-0.000826846,-0.00110918,-0.00128261,-0.000697492,0.999976,0.00650728,
0.999967,0.00731497,0.00212824,-2.83934e-05,0.00164447,-0.00119919,0.00150702,-0.00110458,-0.00213521,-5.98462e-05,0.999966,0.00740668,0.00214984,-0.00100487,0.000975048,-0.00128268,-0.00162431,-0.00122275,-0.0021399,-0.00104202,0.99996,0.00819471,0.0015149,-0.000783527,-0.00148692,-0.00112097,-0.000956519,-0.00129622,-0.00150952,-0.000809184,0.999967,0.0075918,
0.999957,0.00835999,0.00243162,-3.14157e-05,0.00184607,-0.00138007,0.0017139,-0.00126441,-0.00244059,-7.25075e-05,0.999956,0.00846478,0.00243119,-0.00115899,0.00110808,-0.0014663,-0.00181961,-0.00141024,-0.00241788,-0.00120711,0.999948,0.00936523,0.001747,-0.000885815,-0.00168764,-0.00128565,-0.00108385,-0.00148385,-0.00174001,-0.000919516,0.999956,0.0086763,
0.999946,0.00940501,0.00273486,-3.41715e-05,0.00203895,-0.00156311,0.00191862,-0.00142474,-0.00274602,-8.61916e-05,0.999944,0.00952289,0.00270569,-0.0013156,0.00123954,-0.00165001,-0.00200531,-0.00160052,-0.00268843,-0.00137597,0.999934,0.0105357,0.00198281,-0.000985577,-0.0018854,-0.00145141,-0.00120882,-0.00167206,-0.00197403,-0.00102847,0.999945,0.00976079,
